status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
85014209445_10156135578169446,#Amul Topical: Bollywood blockbuster cleared  with small name change!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156135578054446/?type=3,2018-01-02 01:53:34,692,5,44,507,15,2,164,3,1,0
85014209445_10156127283994446,Say this to yourself as you make a #fresh start today! #HappyNewYear,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156127277729446/?type=3,2018-01-01 07:30:00,331,7,24,297,23,3,8,0,0,0
85014209445_10156127220484446,Give 2018 a  #cheesy welcome with #Amul Cheese Spread!,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156127209634446/?type=3,2018-01-01 06:23:41,310,4,25,290,10,3,7,0,0,0
85014209445_10156127057134446,Here's a thought you can savour for the rest of the year!,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156127055894446/?type=3,2018-01-01 01:30:00,325,5,41,310,8,1,6,0,0,0
85014209445_10156127340684446,Start your New Year on a golden note!,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156127340159446/?type=3,2017-12-31 21:30:00,358,9,32,348,9,1,0,0,0,0
85014209445_10156131244719446,Wish you a sweet 2018!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156131244594446/?type=3,2017-12-31 14:46:01,296,4,20,276,19,1,0,0,0,0
85014209445_10156127237174446,Every bite will #delight you,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156127236854446/?type=3,2017-12-31 08:30:00,378,15,28,357,18,2,0,1,0,0
85014209445_10156127701429446,Usher in a burger #party this #NewYearEve with #Amul,,video,https://www.facebook.com/amul.coop/videos/10156127701429446/,2017-12-31 06:30:00,194,5,19,185,8,1,0,0,0,0
85014209445_10156127333344446,"As we end the year, we pray...",,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156127333034446/?type=3,2017-12-31 00:30:00,329,6,33,313,5,2,9,0,0,0
85014209445_10156127459384446,Make this world a sweeter place with #Amul Mithaimate. #Resolution,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156127458634446/?type=3,2017-12-30 22:30:00,315,6,36,306,8,1,0,0,0,0
